"","term","type","polarity","polarity_revision"
"181","#emerson","htag",-1,"A"
"182","#enem","htag",-1,"A"
"183","#eospisicopatasdaoretwitt","htag",-1,"A"
"184","#eossemeduca","htag",-1,"A"
"185","#epic","htag",-1,"A"
"186","#epicwin","htag",0,"A"
"187","#eraseunavez","htag",1,"A"
"188","#eressexypero","htag",1,"A"
"189","#errodotz","htag",-1,"A"
"190","#esassonpurasmentiras","htag",1,"A"
"191","#escroto","htag",-1,"A"
"192","#espiritosanto","htag",-1,"A"
"193","#estad","htag",-1,"A"
"194","#estudar","htag",-1,"A"
"195","#etenildos","htag",-1,"A"
"196","#eu","htag",-1,"A"
"197","#eununca","htag",-1,"A"
"198","#eutenhoumamigo","htag",-1,"A"
"199","#evernote","htag",1,"A"
"200","#exalta","htag",-1,"A"
"201","#expotch","htag",-1,"A"
"202","#facebook","htag",1,"A"
"203","#fail","htag",-1,"A"
"204","#faiooo","htag",-1,"A"
"205","#fascinante","htag",1,"A"
"206","#fashion","htag",-1,"A"
"207","#fato","htag",-1,"A"
"208","#fb","htag",1,"A"
"209","#feil","htag",-1,"A"
"210","#feio","htag",-1,"A"
"211","#fertagus","htag",1,"A"
"212","#ff","htag",1,"A"
"213","#fibra","htag",-1,"A"
"214","#ficadica","htag",-1,"A"
"215","#fidalidadesmiles","htag",-1,"A"
"216","#fifa11","htag",1,"A"
"217","#fikdik","htag",-1,"A"
"218","#filha","htag",-1,"A"
"219","#finishh","htag",1,"A"
"220","#firefox","htag",1,"A"
"221","#fisl","htag",1,"A"
"222","#flash","htag",1,"A"
"223","#flopou","htag",-1,"A"
"224","#fodaa","htag",-1,"A"
"225","#fodao","htag",1,"A"
"226","#fome","htag",1,"A"
"227","#foramicarla","htag",-1,"A"
"228","#forever","htag",1,"A"
"229","#foreveralone","htag",1,"A"
"230","#forevergordo","htag",1,"A"
"231","#fortaleza","htag",-1,"A"
"232","#frontinrio","htag",1,"A"
"233","#fsoa","htag",1,"A"
"234","#fuckboy","htag",-1,"A"
"235","#fuckyea","htag",1,"A"
"236","#fudeugeral","htag",-1,"A"
"237","#funk","htag",-1,"A"
"238","#gaga","htag",-1,"A"
"239","#galvaobueno","htag",-1,"A"
"240","#gatos","htag",1,"A"
"241","#generationteen","htag",-1,"A"
"242","#gente","htag",-1,"A"
"243","#genteque","htag",-1,"A"
"244","#ger","htag",-1,"A"
"245","#giovanealmeida","htag",-1,"A"
"246","#gof9","htag",-1,"A"
"247","#gol","htag",1,"A"
"248","#golazo","htag",1,"A"
"249","#google","htag",-1,"A"
"250","#googledoodle","htag",-1,"A"
"251","#gr","htag",-1,"A"
"252","#graciasdiosito","htag",1,"A"
"253","#grandesmentiras","htag",-1,"A"
"254","#gremio","htag",-1,"A"
"255","#guanabara","htag",1,"A"
"256","#guardomagoa","htag",1,"A"
"257","#guicostnn","htag",-1,"A"
"258","#harrypobre","htag",1,"A"
"259","#hi5","htag",1,"A"
"260","#historia","htag",-1,"A"
"261","#horacerta","htag",-1,"A"
"262","#hotmail","htag",-1,"A"
"263","#html5","htag",1,"A"
"264","#humornegro","htag",1,"A"
"265","#icwd","htag",1,"A"
"266","#ie","htag",1,"A"
"267","#ifce","htag",-1,"A"
"268","#ifdesenvolve","htag",-1,"A"
"269","#imagens","htag",1,"A"
"270","#infancia","htag",1,"A"
"271","#infografia","htag",1,"A"
"272","#inlove","htag",1,"A"
"273","#insensatos2","htag",-1,"A"
"274","#internetbanking","htag",-1,"A"
"275","#interpolnobrasil","htag",-1,"A"
"276","#intersystem","htag",-1,"A"
"277","#intimatelybeckham","htag",1,"A"
"278","#ios5","htag",1,"A"
"279","#itau","htag",-1,"A"
"280","#j","htag",-1,"A"
"281","#jam","htag",-1,"A"
"282","#jantar","htag",1,"A"
"283","#jaspion","htag",1,"A"
"284","#jesse","htag",1,"A"
"285","#jim","htag",1,"A"
"286","#joomla","htag",-1,"A"
"287","#josatan","htag",1,"A"
"288","#juevesfeliz","htag",1,"A"
"289","#jumbo","htag",1,"A"
"290","#kevin","htag",-1,"A"
"291","#lance","htag",1,"A"
"292","#le","htag",1,"A"
"293","#leticia","htag",-1,"A"
"294","#lifebuoy","htag",-1,"A"
"295","#lindo","htag",1,"A"
"296","#linux","htag",1,"A"
"297","#lion","htag",1,"A"
"298","#lixo","htag",-1,"A"
"299","#lixofonica","htag",-1,"A"
"300","#lol","htag",-1,"A"
"301","#looser","htag",1,"A"
"302","#luansantana","htag",-1,"A"
"303","#lucasednir","htag",-1,"A"
"304","#mac","htag",-1,"A"
"305","#maconha","htag",-1,"A"
"306","#madvma","htag",-1,"A"
"307","#magazineluiza","htag",-1,"A"
"308","#magnocentro","htag",-1,"A"
"309","#malha","htag",-1,"A"
"310","#manaus","htag",1,"A"
"311","#mariabethania","htag",-1,"A"
"312","#marisa","htag",-1,"A"
"313","#may","htag",-1,"A"
"314","#mecaga","htag",-1,"A"
"315","#megalagana","htag",1,"A"
"316","#megasena","htag",1,"A"
"317","#melhores","htag",1,"A"
"318","#melissa","htag",-1,"A"
"319","#melissahorn","htag",1,"A"
"320","#memolesta","htag",-1,"A"
"321","#metrosp","htag",-1,"A"
"322","#meuchapeu","htag",-1,"A"
"323","#meusonho","htag",-1,"A"
"324","#microsoft","htag",-1,"A"
"325","#mimimi","htag",1,"A"
"326","#mobile","htag",-1,"A"
"327","#mockery","htag",1,"A"
"328","#mockito","htag",1,"A"
"329","#monografia","htag",-1,"A"
"330","#montanagrill","htag",1,"A"
"331","#monterrey","htag",-1,"A"
"332","#morto","htag",-1,"A"
"333","#motos","htag",-1,"A"
"334","#movies","htag",1,"A"
"335","#msn","htag",-1,"A"
"336","#mueremalditodesgraciado","htag",-1,"A"
"337","#myhero","htag",1,"A"
"338","#nameyourpeniswithamovie","htag",1,"A"
"339","#naomais","htag",-1,"A"
"340","#nata","htag",-1,"A"
"341","#nervoso","htag",1,"A"
"342","#net","htag",-1,"A"
"343","#netcombo","htag",-1,"A"
"344","#neymarcaicai","htag",1,"A"
"345","#nhlnaespn","htag",-1,"A"
"346","#nomamar","htag",-1,"A"
"347","#not","htag",-1,"A"
"348","#oclone","htag",-1,"A"
"349","#oda","htag",-1,"A"
"350","#odeio","htag",-1,"A"
"351","#oi","htag",-1,"A"
"352","#old","htag",1,"A"
"353","#omg","htag",-1,"A"
"354","#opera","htag",1,"A"
"355","#orgulhoafro","htag",-1,"A"
"356","#orkutaovivo","htag",-1,"A"
"357","#oseducadosrespondem","htag",-1,"A"
"358","#ossimpsons","htag",-1,"A"
"359","#pais","htag",-1,"A"
"360","#palmeiras","htag",1,"A"
"361","#palocci","htag",-1,"A"
"362","#panama","htag",1,"A"
"363","#panico","htag",1,"A"
"364","#parti","htag",-1,"A"
"365","#partiu","htag",-1,"A"
"366","#patadeperro","htag",1,"A"
"367","#paulafernandes","htag",0,"A"
"368","#peliculaspizzeras","htag",1,"A"
"369","#photoshop","htag",-1,"A"
"370","#php","htag",1,"A"
"371","#piadasdacarol","htag",-1,"A"
"372","#piadassobrepiadas","htag",1,"A"
"373","#planetmix","htag",-1,"A"
"374","#plc122","htag",-1,"A"
"375","#plimplim","htag",-1,"A"
"376","#pobrefeelings","htag",-1,"A"
"377","#poderir","htag",-1,"A"
"378","#pokemon","htag",-1,"A"
"379","#polishop","htag",-1,"A"
"380","#politicagem","htag",-1,"A"
"381","#polvilho","htag",-1,"A"
"382","#popular","htag",-1,"A"
"383","#poweroflove","htag",-1,"A"
"384","#poxagoogle","htag",-1,"A"
"385","#pqp","htag",-1,"A"
"386","#prequi","htag",-1,"A"
"387","#profiss","htag",1,"A"
"388","#programadojo","htag",-1,"A"
"389","#promo","htag",-1,"A"
"390","#prova","htag",-1,"A"
"391","#pseudociencia","htag",-1,"A"
"392","#ptt","htag",-1,"A"
"393","#pucrs","htag",-1,"A"
"394","#putafaltadesacanagem","htag",-1,"A"
"395","#putaquepariu","htag",-1,"A"
"396","#qbomne","htag",-1,"A"
"397","#qconsp","htag",1,"A"
"398","#quefasehein","htag",-1,"A"
"399","#quepena","htag",-1,"A"
"400","#quitesmoking","htag",1,"A"
"401","#quiz","htag",1,"A"
"402","#ramon","htag",-1,"A"
"403","#receba","htag",-1,"A"
"404","#reclame","htag",1,"A"
"405","#redeglobo","htag",-1,"A"
"406","#referendum","htag",-1,"A"
"407","#referendum2011","htag",-1,"A"
"408","#refugiodosanjos","htag",1,"A"
"409","#reginaldorossi","htag",-1,"A"
"410","#revendatim","htag",-1,"A"
"411","#reynosa","htag",-1,"A"
"412","#riovermelho","htag",-1,"A"
"413","#riverplate","htag",1,"A"
"414","#rockrio","htag",-1,"A"
"415","#s","htag",-1,"A"
"416","#sabado","htag",1,"A"
"417","#sabesqueestasgordo","htag",-1,"A"
"418","#safari","htag",1,"A"
"419","#samsung","htag",-1,"A"
"420","#sanantoniodecabeza","htag",-1,"A"
"421","#santoantonio","htag",-1,"A"
"422","#sapevatelo","htag",-1,"A"
"423","#seladygagafossebrasileira","htag",-1,"A"
"424","#semata","htag",-1,"A"
"425","#seo","htag",0,"A"
"426","#seomoz","htag",1,"A"
"427","#ser","htag",-1,"A"
"428","#serepitelahistoria","htag",1,"A"
"429","#sga","htag",-1,"A"
"430","#sic","htag",1,"A"
"431","#sigam","htag",-1,"A"
"432","#signos","htag",-1,"A"
"433","#signout","htag",-1,"A"
"434","#site","htag",-1,"A"
"435","#smiles","htag",-1,"A"
"436","#sms","htag",-1,"A"
"437","#sogra","htag",-1,"A"
"438","#sono","htag",-1,"A"
"439","#sonyericsson","htag",-1,"A"
"440","#sorteiomanual","htag",-1,"A"
"441","#sosbombeiros","htag",-1,"A"
"442","#soumaiseu","htag",1,"A"
"443","#soyadicto","htag",1,"A"
"444","#speed","htag",-1,"A"
"445","#speedy","htag",-1,"A"
"446","#spotv","htag",-1,"A"
"447","#submarino","htag",-1,"A"
"448","#tadimdemim","htag",-1,"A"
"449","#taxiamigo","htag",1,"A"
"450","#tcc","htag",1,"A"
"451","#teamfollowback","htag",-1,"A"
"452","#teamo","htag",-1,"A"
"453","#tecnologia","htag",1,"A"
"454","#telaquente","htag",-1,"A"
"455","#telefoncia","htag",-1,"A"
"456","#telefonica","htag",-1,"A"
"457","#tenso","htag",-1,"A"
"458","#thaismaracorr","htag",-1,"A"
"459","#ti","htag",-1,"A"
"460","#tim","htag",-1,"A"
"461","#time","htag",-1,"A"
"462","#todayillbesimple","htag",-1,"A"
"463","#todosadora","htag",-1,"A"
"464","#topfive","htag",-1,"A"
"465","#tosempiquenenhum","htag",-1,"A"
"466","#totalyfail","htag",-1,"A"
"467","#tps","htag",-1,"A"
"468","#transitosp","htag",-1,"A"
"469","#travelmug","htag",1,"A"
