"","term","type","polarity","polarity_revision"
"8693","curial","adj",1,"A"
"8694","curiosa","adj",0,"M"
"8695","curiosar","vb",0,"A"
"8696","curiosas","adj",0,"M"
"8697","curiosissima","adj",0,"M"
"8698","curioso","adj",0,"M"
"8699","curiosos","adj",0,"M"
"8700","cursar","vb",0,"A"
"8701","curta","adj",0,"M"
"8702","curta de vistas","adj",-1,"A"
"8703","curtas","adj",0,"M"
"8704","curtas de vista","adj",-1,"A"
"8705","curtida","adj",1,"A"
"8706","curtidas","adj",1,"A"
"8707","curtido","adj",1,"A"
"8708","curtidos","adj",1,"A"
"8709","curtir","vb",1,"A"
"8710","curto","adj",0,"M"
"8711","curto de vistas","adj",-1,"A"
"8712","curtos","adj",0,"M"
"8713","curtos de vistas","adj",-1,"A"
"8714","curva","adj",-1,"A"
"8715","curvada","adj",-1,"A"
"8716","curvadas","adj",-1,"A"
"8717","curvado","adj",-1,"A"
"8718","curvados","adj",-1,"A"
"8719","curvar","vb",0,"A"
"8720","curvar-se","vb",0,"A"
"8721","curvas","adj",-1,"A"
"8722","curvilinea","adj",-1,"A"
"8723","curvilineas","adj",-1,"A"
"8724","curvilineo","adj",-1,"A"
"8725","curvilineos","adj",-1,"A"
"8726","curvo","adj",-1,"A"
"8727","curvos","adj",-1,"A"
"8728","cuspida","adj",-1,"A"
"8729","cuspidas","adj",-1,"A"
"8730","cuspido","adj",-1,"A"
"8731","cuspidos","adj",-1,"A"
"8732","cuspilhar","vb",1,"A"
"8733","cuspinhar","vb",1,"A"
"8734","cuspir","vb",1,"A"
"8735","custar","vb",1,"A"
"8736","custodiar","vb",-1,"A"
"8737","custosa","adj",0,"A"
"8738","custosas","adj",0,"A"
"8739","custoso","adj",0,"A"
"8740","custosos","adj",0,"A"
"8741","czarista","adj",0,"A"
"8742","czaristas","adj",0,"A"
"8743","dactilografar","vb",0,"A"
"8744","dada","adj",0,"A"
"8745","dadaista","adj",0,"A"
"8746","dadaistas","adj",0,"A"
"8747","dadas","adj",0,"A"
"8748","dadivosa","adj",1,"A"
"8749","dadivosas","adj",1,"A"
"8750","dadivoso","adj",1,"A"
"8751","dadivosos","adj",1,"A"
"8752","dado","adj",0,"A"
"8753","dados","adj",0,"A"
"8754","daltonica","adj",-1,"A"
"8755","daltonicas","adj",-1,"A"
"8756","daltonico","adj",-1,"A"
"8757","daltonicos","adj",-1,"A"
"8758","damejar","vb",1,"A"
"8759","danada","adj",-1,"A"
"8760","danadas","adj",-1,"A"
"8761","danado","adj",-1,"A"
"8762","danados","adj",-1,"A"
"8763","danar","vb",-1,"A"
"8764","dancar","vb",0,"A"
"8765","danificada","adj",-1,"A"
"8766","danificadas","adj",-1,"A"
"8767","danificado","adj",-1,"A"
"8768","danificados","adj",-1,"A"
"8769","danificar","vb",-1,"A"
"8770","daninhar","vb",-1,"A"
"8771","danosa","adj",-1,"A"
"8772","danosas","adj",-1,"A"
"8773","danoso","adj",-1,"A"
"8774","danosos","adj",-1,"A"
"8775","dantesco","adj",1,"A"
"8776","dar","vb",-1,"A"
"8777","dar abrigo a","vb n prp",1,"A"
"8778","dar andamento a","vb n prp",1,"A"
"8779","dar apoio a","vb n prp",-1,"A"
"8780","dar as=costas a","vb n prp",-1,"A"
"8781","dar asilo a","vb n prp",1,"A"
"8782","dar assistencia a","vb n prp",1,"A"
"8783","dar aula sobre","vb n prp",1,"A"
"8784","dar certo","vb adj",1,"A"
"8785","dar cobertura a","vb n prp",1,"A"
"8786","dar conselho a","vb n prp",1,"A"
"8787","dar conta de","vb n prp",1,"A"
"8788","dar continuidade a","vb n prp",-1,"A"
"8789","dar destaque a","vb n prp",1,"A"
"8790","dar detalhe sobre","vb n prp",-1,"A"
"8791","dar direito","vb adv",1,"A"
"8792","dar duro","vb adj",-1,"A"
"8793","dar emprego a","vb n prp",1,"A"
"8794","dar enfase a","vb n prp",-1,"A"
"8795","dar estabilidade a","vb n prp",1,"A"
"8796","dar fim a","vb n prp",1,"A"
"8797","dar forca para","vb n prp",1,"A"
"8798","dar ideia de","vb n prp",1,"A"
"8799","dar impulso a","vb n prp",1,"A"
"8800","dar indicacao de","vb n prp",1,"A"
"8801","dar indicio de","vb n prp",1,"A"
"8802","dar inicio a","vb n prp",1,"A"
"8803","dar instrucao a","vb n prp",1,"A"
"8804","dar legitimidade a","vb n prp",-1,"A"
"8805","dar margem para","vb n prp",1,"A"
"8806","dar mostra de","vb n prp",1,"A"
"8807","dar nome a","vb n prp",1,"A"
"8808","dar palestra em","vb n prp",1,"A"
"8809","dar posse a","vb n prp",-1,"A"
"8810","dar preferencia a","vb n prp",1,"A"
"8811","dar protecao a","vb n prp",1,"A"
"8812","dar prova de","vb n prp",1,"A"
"8813","dar seguranca a","vb n prp",1,"A"
"8814","dar sinal de","vb n prp",1,"A"
"8815","dar suporte a","vb n prp",1,"A"
"8816","dar sustentacao a","vb n prp",1,"A"
"8817","dar valor a","vb n prp",1,"A"
"8818","dar-se","vb",1,"A"
"8819","dardejante","adj",0,"A"
"8820","dardejantes","adj",0,"A"
"8821","dardejar","vb",1,"A"
"8822","darwinista","adj",0,"A"
"8823","darwinistas","adj",0,"A"
"8824","datilografar","vb",0,"A"
"8825","dealbar","vb",0,"A"
"8826","dealvar","vb",0,"A"
"8827","deambulante","adj",-1,"A"
"8828","deambulantes","adj",-1,"A"
"8829","deambular","vb",0,"A"
"8830","debagar","vb",-1,"A"
"8831","debandada","adj",-1,"A"
"8832","debandadas","adj",-1,"A"
"8833","debandado","adj",-1,"A"
"8834","debandados","adj",-1,"A"
"8835","debandar","vb",0,"A"
"8836","debater","vb",-1,"A"
"8837","debatida","adj",0,"M"
"8838","debatidas","adj",0,"M"
"8839","debatido","adj",0,"M"
"8840","debatidos","adj",0,"M"
"8841","debeis","adj",-1,"A"
"8842","debelar","vb",0,"A"
"8843","debicar","vb",1,"A"
"8844","debil","adj",-1,"A"
"8845","debilitada","adj",-1,"M"
"8846","debilitadas","adj",-1,"M"
"8847","debilitado","adj",-1,"M"
"8848","debilitados","adj",-1,"M"
"8849","debilitar","vb",-1,"A"
"8850","deblaterar","vb",1,"A"
"8851","debochada","adj",-1,"A"
"8852","debochadas","adj",-1,"A"
"8853","debochado","adj",-1,"A"
"8854","debochados","adj",-1,"A"
"8855","debochar","vb",0,"A"
"8856","debotar","vb",-1,"A"
"8857","debruar","vb",1,"A"
"8858","debrucar","vb",1,"A"
"8859","debulhar","vb",-1,"A"
"8860","debuxar","vb",1,"A"
"8861","decadente","adj",-1,"M"
"8862","decadentes","adj",-1,"M"
"8863","decadentes","adj",-1,"A"
"8864","decadentista","adj",-1,"A"
"8865","decadentistas","adj",-1,"A"
"8866","decaida","adj",-1,"A"
"8867","decaidas","adj",-1,"A"
"8868","decaido","adj",-1,"A"
"8869","decaidos","adj",-1,"A"
"8870","decair","vb",-1,"A"
"8871","decalcar","vb",1,"A"
"8872","decantada","adj",-1,"A"
"8873","decantadas","adj",-1,"A"
"8874","decantado","adj",-1,"A"
"8875","decantados","adj",-1,"A"
"8876","decantar","vb",0,"A"
"8877","decapitar","vb",1,"A"
"8878","decente","adj",1,"M"
"8879","decentes","adj",1,"M"
"8880","decepada","adj",-1,"A"
"8881","decepadas","adj",-1,"A"
"8882","decepado","adj",-1,"A"
"8883","decepados","adj",-1,"A"
"8884","decepar","vb",-1,"A"
"8885","decepcao","adj",-1,"A"
"8886","decepcionada","adj",-1,"A"
"8887","decepcionadas","adj",-1,"A"
"8888","decepcionado","adj",-1,"A"
"8889","decepcionados","adj",-1,"A"
"8890","decepcionante","adj",-1,"M"
"8891","decepcionantes","adj",-1,"M"
"8892","decertar","vb",0,"A"
"8893","decidida","adj",1,"A"
"8894","decididas","adj",1,"A"
"8895","decidido","adj",1,"A"
"8896","decididos","adj",1,"A"
"8897","decidir","vb",0,"A"
"8898","decidir-se","vb",1,"A"
"8899","decifrar","vb",0,"A"
"8900","decimar","vb",-1,"A"
"8901","decisiva","adj",0,"M"
"8902","decisivas","adj",0,"M"
"8903","decisivo","adj",0,"M"
"8904","decisivos","adj",0,"M"
"8905","declamar","vb",1,"A"
"8906","declamativo","adj",1,"A"
"8907","declamatorio","adj",1,"A"
"8908","declarada","adj",0,"A"
"8909","declaradas","adj",0,"A"
"8910","declarado","adj",0,"A"
"8911","declarados","adj",0,"A"
"8912","declarar","vb",0,"A"
"8913","declinar","vb",-1,"A"
"8914","declivado","adj",-1,"A"
"8915","declivoso","adj",-1,"A"
"8916","decodificar","vb",0,"A"
"8917","decolorar","vb",-1,"A"
"8918","decompor","vb",-1,"A"
"8919","decompor-se","vb",1,"A"
"8920","decomposto","adj",-1,"A"
"8921","decorada","adj",0,"M"
"8922","decoradas","adj",0,"M"
"8923","decorado","adj",0,"M"
"8924","decorados","adj",0,"M"
"8925","decorar","vb",0,"A"
"8926","decorosa","adj",1,"A"
"8927","decorosas","adj",1,"A"
"8928","decoroso","adj",1,"A"
"8929","decorosos","adj",1,"A"
"8930","decorrer","vb",0,"A"
"8931","decorticar","vb",0,"A"
"8932","decrementar","vb",1,"A"
"8933","decrepita","adj",-1,"A"
"8934","decrepitas","adj",-1,"A"
"8935","decrepito","adj",-1,"A"
"8936","decrepitos","adj",-1,"A"
"8937","decrescer","vb",-1,"A"
"8938","decretar","vb",1,"A"
"8939","decriptar","vb",0,"A"
"8940","dedar","vb",0,"A"
"8941","dedicada","adj",1,"A"
"8942","dedicadas","adj",1,"A"
"8943","dedicado","adj",1,"A"
"8944","dedicados","adj",1,"A"
"8945","dedicar","vb",-1,"A"
"8946","dedicar-se","vb",0,"A"
"8947","dedo-durar","vb",1,"A"
"8948","dedurar","vb",1,"A"
"8949","deduzida","adj",0,"A"
"8950","deduzidas","adj",0,"A"
"8951","deduzido","adj",0,"A"
"8952","deduzidos","adj",0,"A"
"8953","deduzir","vb",0,"A"
"8954","defecar","vb",0,"A"
"8955","defectivel","adj",-1,"A"
"8956","defectivo","adj",-1,"A"
"8957","defeituosa","adj",-1,"M"
"8958","defeituosas","adj",-1,"M"
"8959","defeituosidade","adj",-1,"A"
"8960","defeituoso","adj",-1,"M"
"8961","defeituosos","adj",-1,"M"
"8962","defender","vb",-1,"A"
"8963","defendido","adj",1,"A"
"8964","defensor","adj",1,"A"
"8965","defensora","adj",1,"A"
"8966","defensoras","adj",1,"A"
"8967","defensores","adj",1,"A"
"8968","deferente","adj",1,"A"
"8969","deferentes","adj",1,"A"
"8970","deferida","adj",1,"A"
"8971","deferidas","adj",1,"A"
"8972","deferido","adj",1,"A"
"8973","deferidos","adj",1,"A"
"8974","deferir","vb",0,"A"
"8975","defesa","adj",-1,"A"
"8976","defesas","adj",-1,"A"
"8977","defeso","adj",-1,"A"
"8978","defesos","adj",-1,"A"
"8979","defessa","adj",-1,"A"
"8980","defessas","adj",-1,"A"
"8981","defesso","adj",-1,"A"
"8982","defessos","adj",-1,"A"
"8983","deficiente","adj",-1,"M"
"8984","deficientes","adj",-1,"M"
"8985","definhada","adj",-1,"A"
"8986","definhadas","adj",-1,"A"
"8987","definhado","adj",-1,"A"
"8988","definhados","adj",-1,"A"
"8989","definhar","vb",-1,"A"
"8990","definida","adj",0,"A"
"8991","definidas","adj",0,"A"
"8992","definido","adj",0,"A"
"8993","definidos","adj",0,"A"
"8994","definir","vb",1,"A"
"8995","defluir","vb",0,"A"
"8996","deformada","adj",-1,"A"
"8997","deformadas","adj",-1,"A"
"8998","deformado","adj",-1,"A"
"8999","deformados","adj",-1,"A"
"9000","deformar","vb",0,"A"
"9001","defraudar","vb",0,"A"
"9002","defrontar","vb",-1,"A"
"9003","defrontar-se","vb",1,"A"
"9004","defunta","adj",-1,"A"
"9005","defuntas","adj",-1,"A"
"9006","defunto","adj",-1,"A"
"9007","defuntos","adj",-1,"A"
"9008","degastador","adj",1,"A"
"9009","degelar","vb",0,"A"
"9010","degenerada","adj",-1,"A"
"9011","degeneradas","adj",-1,"A"
"9012","degenerado","adj",-1,"A"
"9013","degenerados","adj",-1,"A"
"9014","degenerar","vb",0,"A"
"9015","degenerar-se","vb",1,"A"
"9016","degenere","adj",-1,"A"
"9017","degolar","vb",1,"A"
"9018","degradada","adj",-1,"A"
"9019","degradadas","adj",-1,"A"
"9020","degradado","adj",-1,"A"
"9021","degradados","adj",-1,"A"
"9022","degradante","adj",-1,"A"
"9023","degradantes","adj",-1,"A"
"9024","degradar","vb",-1,"A"
"9025","degradar-se","vb",0,"A"
"9026","degredada","adj",-1,"A"
"9027","degredadas","adj",-1,"A"
"9028","degredado","adj",-1,"A"
"9029","degredados","adj",-1,"A"
"9030","degredar","vb",1,"A"
"9031","degringolar","vb",0,"A"
"9032","degustar","vb",0,"A"
"9033","deicida","adj",-1,"A"
"9034","deicidas","adj",-1,"A"
"9035","deificar","vb",1,"A"
"9036","deista","adj",0,"A"
"9037","deistas","adj",0,"A"
"9038","deitada","adj",-1,"A"
"9039","deitadas","adj",-1,"A"
"9040","deitado","adj",-1,"A"
"9041","deitados","adj",-1,"A"
"9042","deitar","vb",-1,"A"
"9043","deitar-se","vb",1,"A"
"9044","deixada","adj",0,"A"
"9045","deixadas","adj",0,"A"
"9046","deixado","adj",0,"A"
"9047","deixados","adj",0,"A"
"9048","deixar","vb",0,"A"
"9049","deixar claro","vb adj",1,"A"
"9050","deixar claro","vb adv",1,"A"
"9051","deixar de=fora","vb adv",1,"A"
"9052","deixar evidente","vb adj",1,"A"
"9053","deixar feliz","vb adj",1,"A"
"9054","dejetar","vb",0,"A"
"9055","dejungir","vb",0,"A"
"9056","delambida","adj",-1,"A"
"9057","delambidas","adj",-1,"A"
"9058","delambido","adj",-1,"A"
"9059","delambidos","adj",-1,"A"
"9060","delapidar","vb",-1,"A"
"9061","delatar","vb",0,"A"
"9062","delegada","adj",-1,"A"
"9063","delegadas","adj",-1,"A"
"9064","delegado","adj",-1,"A"
"9065","delegados","adj",-1,"A"
"9066","delegar","vb",-1,"A"
"9067","deleitada","adj",-1,"A"
"9068","deleitadas","adj",-1,"A"
"9069","deleitado","adj",-1,"A"
"9070","deleitados","adj",-1,"A"
"9071","deleitante","adj",1,"A"
"9072","deleitar","vb",1,"A"
"9073","deleitar-se","vb",0,"A"
"9074","deleitavel","adj",1,"A"
"9075","deleitosa","adj",1,"A"
"9076","deleitosas","adj",1,"A"
"9077","deleitoso","adj",1,"A"
"9078","deleitosos","adj",1,"A"
"9079","deleteria","adj",-1,"A"
"9080","deleterias","adj",-1,"A"
"9081","deleterio","adj",-1,"A"
"9082","deleterios","adj",-1,"A"
"9083","delgacar","vb",-1,"A"
"9084","delgada","adj",0,"A"
"9085","delgadas","adj",0,"A"
"9086","delgado","adj",0,"A"
"9087","delgados","adj",0,"A"
"9088","delibar","vb",0,"A"
"9089","deliberada","adj",1,"A"
"9090","deliberadas","adj",1,"A"
"9091","deliberado","adj",1,"A"
"9092","deliberados","adj",1,"A"
"9093","deliberar","vb",0,"A"
"9094","deliberar-se","vb",1,"A"
"9095","delicada","adj",1,"A"
"9096","delicadas","adj",1,"A"
"9097","delicado","adj",1,"A"
"9098","delicados","adj",1,"A"
"9099","deliciada","adj",-1,"A"
"9100","deliciadas","adj",-1,"A"
"9101","deliciado","adj",-1,"A"
"9102","deliciados","adj",-1,"A"
"9103","deliciar","vb",1,"A"
"9104","deliciar-se","vb",0,"A"
"9105","deliciosa","adj",1,"M"
"9106","deliciosas","adj",1,"M"
"9107","delicioso","adj",1,"M"
"9108","deliciosos","adj",1,"M"
"9109","delimitada","adj",-1,"A"
"9110","delimitadas","adj",-1,"A"
"9111","delimitado","adj",-1,"A"
"9112","delimitados","adj",-1,"A"
"9113","delimitar","vb",0,"A"
"9114","delineada","adj",-1,"A"
"9115","delineadas","adj",-1,"A"
"9116","delineado","adj",-1,"A"
"9117","delineados","adj",-1,"A"
"9118","delinear","vb",0,"A"
"9119","delinquente","adj",-1,"A"
"9120","delinquente","adj",-1,"A"
"9121","delinquentes","adj",-1,"A"
"9122","delir","vb",0,"A"
"9123","delirante","adj",-1,"M"
"9124","delirantes","adj",-1,"M"
"9125","delirar","vb",0,"A"
"9126","delituosa","adj",-1,"A"
"9127","delituosas","adj",-1,"A"
"9128","delituoso","adj",-1,"A"
"9129","delituosos","adj",-1,"A"
"9130","delivrar","vb",1,"A"
"9131","delombar","vb",-1,"A"
"9132","delongar","vb",0,"A"
"9133","delucidar","vb",-1,"A"
"9134","deludir","vb",0,"A"
"9135","delusorio","adj",1,"A"
"9136","demagoga","adj",-1,"A"
"9137","demagogas","adj",-1,"A"
"9138","demagogica","adj",-1,"A"
"9139","demagogicas","adj",-1,"A"
"9140","demagogico","adj",-1,"A"
"9141","demagogicos","adj",-1,"A"
"9142","demagogo","adj",-1,"A"
"9143","demagogos","adj",-1,"A"
"9144","demaior","adj",1,"A"
"9145","demandar","vb",1,"A"
"9146","demarcada","adj",-1,"A"
"9147","demarcadas","adj",-1,"A"
"9148","demarcado","adj",-1,"A"
"9149","demarcados","adj",-1,"A"
"9150","demarcar","vb",0,"A"
"9151","demasiada","adj",1,"A"
"9152","demente","adj",-1,"A"
"9153","dementes","adj",-1,"A"
"9154","demerita","adj",-1,"A"
"9155","demeritas","adj",-1,"A"
"9156","demerito","adj",-1,"A"
"9157","demeritos","adj",-1,"A"
"9158","demitida","adj",-1,"A"
"9159","demitidas","adj",-1,"A"
"9160","demitido","adj",-1,"A"
"9161","demitidos","adj",-1,"A"
"9162","demitir","vb",-1,"A"
"9163","demitir-se","vb",0,"A"
"9164","democrata","adj",0,"A"
"9165","democrata-crista","adj",0,"A"
"9166","democrata-cristao","adj",0,"A"
"9167","democratas","adj",0,"A"
"9168","democratas-cristaos","adj",0,"A"
"9169","democratas-cristas","adj",0,"A"
"9170","democratica","adj",1,"M"
"9171","democraticas","adj",1,"M"
"9172","democratico","adj",1,"M"
"9173","democraticos","adj",1,"M"
"9174","democratizar","vb",1,"A"
"9175","demode","adj",-1,"A"
"9176","demodes","adj",-1,"A"
"9177","demolidor","adj",-1,"A"
"9178","demolidora","adj",-1,"A"
"9179","demolidoras","adj",-1,"A"
"9180","demolidores","adj",-1,"A"
"9181","demolir","vb",-1,"A"
"9182","demonetizar","vb",1,"A"
"9183","demoniaca","adj",-1,"A"
"9184","demoniacas","adj",-1,"A"
"9185","demoniaco","adj",1,"A"
"9186","demoniacos","adj",-1,"A"
"9187","demonstrar","vb",-1,"A"
"9188","demonstrativa","adj",1,"A"
"9189","demonstrativas","adj",1,"A"
"9190","demonstrativo","adj",1,"A"
"9191","demonstrativos","adj",1,"A"
"9192","demorada","adj",-1,"A"
"9193","demoradas","adj",-1,"A"
"9194","demorado","adj",-1,"A"
"9195","demorados","adj",1,"A"
"9196","demorar","vb",0,"A"
"9197","demover","vb",0,"A"
"9198","demudar","vb",0,"A"
"9199","demudar-se","vb",0,"A"
"9200","denegar","vb",1,"A"
"9201","denegrecer","vb",1,"A"
"9202","denegrida","adj",-1,"A"
"9203","denegridas","adj",-1,"A"
"9204","denegrido","adj",-1,"A"
"9205","denegridos","adj",-1,"A"
"9206","denegrir","vb",1,"A"
"9207","dengosa","adj",-1,"A"
"9208","dengosas","adj",-1,"A"
"9209","dengoso","adj",-1,"A"
"9210","dengosos","adj",-1,"A"
"9211","denodada","adj",1,"A"
"9212","denodadas","adj",1,"A"
"9213","denodado","adj",1,"A"
"9214","denodados","adj",1,"A"
"9215","denodar","vb",1,"A"
"9216","denominada","adj",1,"A"
"9217","denominadas","adj",1,"A"
"9218","denominado","adj",1,"A"
"9219","denominados","adj",1,"A"
"9220","denominar","vb",0,"A"
"9221","denotar","vb",-1,"A"
"9222","densa","adj",1,"M"
"9223","densas","adj",1,"M"
"9224","denso","adj",1,"M"
"9225","densos","adj",1,"M"
"9226","dentar","vb",0,"A"
"9227","denudar","vb",1,"A"
"9228","denunciar","vb",0,"A"
"9229","deparar","vb",-1,"A"
"9230","deparar-se","vb",1,"A"
"9231","departir","vb",-1,"A"
"9232","depauperada","adj",-1,"A"
"9233","depauperadas","adj",-1,"A"
"9234","depauperado","adj",-1,"A"
"9235","depauperados","adj",-1,"A"
"9236","depauperar","vb",0,"A"
"9237","depenada","adj",-1,"A"
"9238","depenadas","adj",-1,"A"
"9239","depenado","adj",-1,"A"
"9240","depenados","adj",-1,"A"
"9241","depenar","vb",0,"A"
"9242","dependente","adj",-1,"M"
"9243","dependentes","adj",-1,"M"
"9244","depender","vb",1,"A"
"9245","dependurada","adj",-1,"A"
"9246","dependuradas","adj",-1,"A"
"9247","dependurado","adj",-1,"A"
"9248","dependurados","adj",-1,"A"
"9249","dependurar","vb",0,"A"
"9250","depenicar","vb",0,"A"
"9251","deperecer","vb",1,"A"
"9252","deperecer-se","vb",1,"A"
"9253","depilada","adj",0,"A"
"9254","depiladas","adj",0,"A"
"9255","depilado","adj",0,"A"
"9256","depilados","adj",0,"A"
"9257","depilar","vb",0,"A"
"9258","deplorar","vb",0,"A"
"9259","deplorar-se","vb",1,"A"
"9260","deploraveis","adj",-1,"A"
"9261","deploravel","adj",-1,"A"
"9262","depor","vb",-1,"A"
"9263","deportada","adj",-1,"A"
"9264","deportadas","adj",-1,"A"
"9265","deportado","adj",-1,"A"
"9266","deportados","adj",-1,"A"
"9267","deportar","vb",1,"A"
"9268","depositar","vb",-1,"A"
"9269","deposta","adj",-1,"A"
"9270","depostas","adj",-1,"A"
"9271","deposto","adj",-1,"A"
"9272","depostos","adj",-1,"A"
"9273","depravada","adj",-1,"A"
"9274","depravadas","adj",-1,"A"
"9275","depravado","adj",-1,"A"
"9276","depravador","adj",-1,"A"
"9277","depravadora","adj",-1,"A"
"9278","depravadoras","adj",-1,"A"
"9279","depravadores","adj",-1,"A"
"9280","depravados","adj",-1,"A"
"9281","depravar","vb",-1,"A"
"9282","depravar-se","vb",1,"A"
"9283","deprecar","vb",1,"A"
"9284","depreciada","adj",-1,"A"
"9285","depreciadas","adj",-1,"A"
"9286","depreciado","adj",-1,"A"
"9287","depreciados","adj",-1,"A"
"9288","depreciar","vb",-1,"A"
"9289","depreciativa","adj",-1,"A"
"9290","depreciativas","adj",-1,"A"
"9291","depreciativo","adj",-1,"A"
"9292","depreciativos","adj",-1,"A"
"9293","depredar","vb",-1,"A"
"9294","depreender","vb",0,"A"
"9295","depressiva","adj",-1,"A"
"9296","depressivas","adj",-1,"A"
"9297","depressivo","adj",-1,"A"
"9298","depressivos","adj",-1,"A"
"9299","depressor","adj",-1,"A"
"9300","depressora","adj",-1,"A"
"9301","depressoras","adj",-1,"A"
"9302","depressores","adj",-1,"A"
"9303","deprimente","adj",-1,"M"
"9304","deprimentes","adj",-1,"M"
"9305","deprimida","adj",-1,"A"
"9306","deprimidas","adj",-1,"A"
"9307","deprimido","adj",-1,"A"
"9308","deprimidos","adj",-1,"A"
"9309","deprimir","vb",0,"A"
"9310","depurada","adj",0,"A"
"9311","depuradas","adj",0,"A"
"9312","depurado","adj",0,"A"
"9313","depurados","adj",0,"A"
"9314","depurar","vb",0,"A"
"9315","deputada","adj",0,"A"
"9316","deputadas","adj",0,"A"
"9317","deputado","adj",0,"A"
"9318","deputados","adj",0,"A"
"9319","deputar","vb",-1,"A"
"9320","dequitar-se","vb",1,"A"
"9321","derivada","adj",-1,"A"
"9322","derivadas","adj",-1,"A"
"9323","derivado","adj",-1,"A"
"9324","derivados","adj",-1,"A"
"9325","derivante ","adj",-1,"M"
"9326","derivantes","adj",-1,"M"
"9327","derivar","vb",0,"A"
"9328","derivar-se","vb",0,"A"
"9329","derradeira","adj",1,"A"
"9330","derraigar","vb",1,"A"
"9331","derramada","adj",-1,"A"
"9332","derramadas","adj",-1,"A"
"9333","derramado","adj",-1,"A"
"9334","derramados","adj",-1,"A"
"9335","derramar","vb",-1,"A"
"9336","derramar-se","vb",1,"A"
"9337","derrancado","adj",-1,"A"
"9338","derrancar","vb",-1,"A"
"9339","derrancar-se","vb",1,"A"
"9340","derrapar","vb",1,"A"
"9341","derreada","adj",-1,"A"
"9342","derreadas","adj",-1,"A"
"9343","derreado","adj",-1,"A"
"9344","derreados","adj",-1,"A"
"9345","derrear","vb",-1,"A"
"9346","derreigar","vb",1,"A"
"9347","derrengar","vb",-1,"A"
"9348","derreter","vb",-1,"A"
"9349","derretida","adj",-1,"A"
"9350","derretidas","adj",-1,"A"
"9351","derretido","adj",-1,"A"
"9352","derretidos","adj",-1,"A"
"9353","derribar","vb",-1,"A"
"9354","derricar","vb",1,"A"
"9355","derriscar","vb",-1,"A"
"9356","derrocada","adj",-1,"A"
"9357","derrocar","vb",-1,"A"
"9358","derrocar-se","vb",1,"A"
"9359","derrogar","vb",-1,"A"
"9360","derrotada","adj",-1,"A"
"9361","derrotadas","adj",-1,"A"
"9362","derrotado","adj",-1,"A"
"9363","derrotados","adj",-1,"A"
"9364","derrotar","vb",-1,"A"
"9365","derrotista","adj",-1,"A"
"9366","derrotistas","adj",-1,"A"
"9367","derrubada","adj",-1,"A"
"9368","derrubadas","adj",-1,"A"
"9369","derrubado","adj",-1,"A"
"9370","derrubados","adj",-1,"A"
"9371","derrubar","vb",-1,"A"
"9372","derruir","vb",-1,"A"
"9373","desabafada","adj",1,"A"
"9374","desabafadas","adj",1,"A"
"9375","desabafado","adj",1,"A"
"9376","desabafados","adj",1,"A"
"9377","desabafar","vb",-1,"A"
"9378","desabalar","vb",0,"A"
"9379","desabar","vb",0,"A"
"9380","desabitada","adj",-1,"A"
"9381","desabitadas","adj",-1,"A"
"9382","desabitado","adj",-1,"A"
"9383","desabitados","adj",-1,"A"
"9384","desabitar","vb",0,"A"
"9385","desabituar-se","vb",0,"A"
"9386","desabonada","adj",-1,"A"
"9387","desabonadas","adj",-1,"A"
"9388","desabonado","adj",-1,"A"
"9389","desabonados","adj",-1,"A"
"9390","desabonar","vb",1,"A"
"9391","desabotoar","vb",1,"A"
"9392","desabrida","adj",-1,"A"
"9393","desabridas","adj",-1,"A"
"9394","desabrido","adj",-1,"A"
"9395","desabridos","adj",-1,"A"
"9396","desabrigada","adj",-1,"A"
"9397","desabrigadas","adj",-1,"A"
"9398","desabrigado","adj",-1,"A"
"9399","desabrigados","adj",-1,"A"
"9400","desabrigar","vb",1,"A"
"9401","desabrochar","vb",0,"A"
"9402","desabrochar-se","vb",1,"A"
"9403","desabrolhar","vb",1,"A"
"9404","desabusada","adj",-1,"A"
"9405","desabusadas","adj",-1,"A"
"9406","desabusado","adj",-1,"A"
"9407","desabusados","adj",-1,"A"
"9408","desacatar","vb",1,"A"
"9409","desachegar","vb",0,"A"
"9410","desachegar-se","vb",1,"A"
"9411","desacobardar","vb",1,"A"
"9412","desacomodar","vb",-1,"A"
"9413","desacompanhada","adj",-1,"A"
"9414","desacompanhadas","adj",-1,"A"
"9415","desacompanhado","adj",-1,"A"
"9416","desacompanhados","adj",-1,"A"
"9417","desaconchegar","vb",-1,"A"
"9418","desacondicionar","vb",1,"A"
"9419","desaconselhar","vb",0,"A"
"9420","desacorcoar","vb",0,"A"
"9421","desacordada","adj",-1,"A"
"9422","desacordadas","adj",-1,"A"
"9423","desacordado","adj",-1,"A"
"9424","desacordados","adj",-1,"A"
"9425","desacordar","vb",0,"A"
"9426","desacorocoar","vb",0,"A"
"9427","desacorrentar","vb",1,"A"
"9428","desacostumar-se","vb",0,"A"
"9429","desacovardar","vb",1,"A"
"9430","desacreditada","adj",1,"A"
"9431","desacreditadas","adj",-1,"A"
"9432","desacreditado","adj",-1,"A"
"9433","desacreditados","adj",-1,"A"
"9434","desacreditar","vb",-1,"A"
"9435","desactualizada","adj",-1,"A"
"9436","desactualizadas","adj",-1,"A"
"9437","desactualizado","adj",-1,"A"
"9438","desactualizados","adj",-1,"A"
"9439","desacumular","vb",-1,"A"
