,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.8
9,-0.13571428571428573
10,0.0
11,0.2
12,-0.023333333333333352
13,0.5
14,0.0
15,0.8
16,-0.2916666666666667
17,0.0
18,0.25
19,-0.8
20,0.0
21,0.0
22,0.65
23,0.0
24,0.375
25,0.0
26,0.0
27,0.5
28,-0.04999999999999999
29,0.34448051948051944
30,0.5
31,0.6
32,0.0
33,0.0
34,-0.30625
35,0.28828125
36,-0.36458333333333337
37,0.5
38,0.012499999999999997
39,0.11904761904761905
40,0.16666666666666666
41,0.0
42,-0.4
43,-0.125
44,-0.07142857142857142
45,0.40727272727272723
46,0.0
47,0.35
48,0.0
49,-0.03415584415584416
50,-0.4
51,0.8
52,0.0
53,-0.09999999999999999
54,0.0
55,0.0
56,0.0
57,0.39999999999999997
58,0.75
59,0.0
60,-0.15555555555555559
61,0.0
62,0.0
63,0.07333333333333333
64,1.0
65,0.6083333333333333
66,0.6666666666666666
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.4453125
73,-0.2
74,0.25
75,0.0
76,0.0
77,0.0
78,0.0
79,0.7
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,-0.2
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,-0.5
92,0.25
93,0.0
94,0.8
95,0.0
96,0.6
97,0.0
98,0.875
99,0.7
100,0.45833333333333337
101,0.03907738095238096
102,0.04999999999999999
103,-0.45
104,0.225
105,0.0
106,-0.3499999999999999
107,0.030952380952380946
108,0.0
109,-0.44999999999999996
110,0.05833333333333333
111,0.32
112,0.1047619047619048
113,-0.11428571428571428
114,-0.11833333333333336
115,-0.07864583333333333
116,0.25
117,0.8
118,0.023958333333333325
119,-0.11249999999999996
120,0.0
121,0.0035714285714285726
122,0.0
123,0.12291666666666669
124,-0.78125
125,0.07222222222222223
126,0.7
127,-0.2566666666666667
128,0.159375
129,0.5
130,0.03968253968253968
131,0.0
132,0.16500000000000004
133,-0.01984126984126984
134,-0.0025000000000000135
135,0.0
136,-0.06887125220458555
137,0.0
138,0.03333333333333333
139,-0.07407407407407407
140,-0.11081349206349204
141,0.2
142,0.23214285714285715
143,-0.5
144,0.16785714285714284
145,0.5
146,-0.5
147,-0.09999999999999999
148,-0.2
149,0.375
150,0.75
151,-0.07999999999999999
152,0.0
153,0.0
154,0.5
155,-0.09583333333333334
156,1.0
157,0.0
158,0.5
159,-0.13333333333333333
160,-0.35
161,-0.7999999999999999
162,-0.08333333333333333
163,-0.7999999999999999
164,0.2460858585858586
165,-0.2
166,-0.05476190476190477
167,-0.5
168,-0.3052083333333333
169,0.0
170,0.0
171,0.0
172,0.0
173,0.6
174,0.5
175,0.8
176,-0.022222222222222223
177,0.175
178,0.0
179,0.6
180,-0.4
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.6
191,0.0
192,0.5
193,-0.6
194,0.5
195,0.0
196,0.0
197,0.0
198,0.0
199,-0.15
200,0.0
201,0.0
202,0.0
203,0.0
204,0.5
205,0.5
206,0.0
207,-0.5
208,-0.4000000000000001
209,0.0
210,-0.07777777777777779
211,0.2
212,0.27
213,0.65
214,0.4725
215,0.0
216,-0.15
217,0.2
218,0.6
219,-0.8
220,0.5
221,-0.01666666666666668
222,0.3333333333333333
223,0.0
224,0.0
225,0.22499999999999998
226,0.5
227,1.0
228,0.5208333333333334
229,0.0
230,0.5
231,0.5
232,0.0
233,0.0
234,0.0
235,0.30000000000000004
236,0.5
237,0.8
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.15
244,-0.05625
245,0.5
246,0.0
247,0.0
248,0.16666666666666666
249,0.5
250,-0.35
251,0.0
252,0.0
253,0.0
254,0.0
255,-0.05624999999999998
256,0.27499999999999997
257,0.25
258,-0.0642857142857143
259,-0.1875
260,0.0
261,0.0
262,0.0
263,0.24000000000000002
264,0.5
265,0.5
266,0.0
267,0.5
268,0.0
269,0.15000000000000002
270,0.11249999999999999
271,0.0
272,0.0
273,0.5
274,0.0
275,-0.2
276,0.0
277,0.0
278,0.0
279,0.2
280,0.0
281,0.3
282,0.8
283,0.0
284,-0.34375
285,0.0
286,-0.3125
287,0.6000000000000001
288,0.0
289,0.0
290,0.0
291,0.0
292,0.7
293,0.0
294,-0.5
295,0.0
296,-0.2
297,0.0
298,0.29090909090909095
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.6
307,1.0
308,0.0
309,0.4166666666666667
310,0.35
311,0.0
312,0.0
313,0.0
314,-0.04999999999999999
315,-0.275
316,0.625
317,-0.8
318,0.0
319,1.0
320,0.7
321,0.5
322,0.0
323,0.9
324,-0.3
325,1.0
326,0.6
327,0.0
328,0.0
329,0.35
330,0.0
331,0.3444444444444445
332,0.5
333,0.028571428571428564
334,0.0
335,0.0
336,0.0
337,0.0
338,-0.09999999999999999
339,0.0
340,0.2
341,0.575
342,0.0
343,-0.25
344,0.0
345,0.25
346,-0.030555555555555558
347,-0.4
348,0.5
349,0.0
350,0.1875
351,0.0
352,0.0
353,-0.25
354,0.16250000000000003
355,0.08750000000000002
356,0.6333333333333334
357,-0.06666666666666667
358,0.0
359,-0.22916666666666669
360,0.2
361,0.8
362,0.0
363,0.0
364,0.0
365,0.10972222222222222
366,0.17329545454545453
367,0.2
368,0.19166666666666665
369,0.0
370,-0.24999999999999992
371,0.0
372,-0.05000000000000002
373,0.31666666666666665
374,0.0
375,0.525
376,0.0
377,0.0
378,0.37
379,0.0
380,0.0
381,0.20000000000000004
382,0.0
383,0.0
384,0.25
385,0.16666666666666666
386,0.5625
387,0.0
388,0.0
389,0.13636363636363635
390,0.0
391,0.0
392,0.0
393,0.0
394,0.13636363636363635
395,0.5
396,0.0
397,0.29214285714285715
398,0.0
399,0.5
400,0.0
401,0.0
402,0.0
403,0.35
404,0.35
405,0.0
406,0.0
407,0.0
408,-0.2
409,0.6
410,0.0
411,0.0
412,0.85
413,0.3
414,0.0
415,0.0
416,1.0
417,0.375
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.85
425,0.0
426,0.0
427,0.0
428,-0.04999999999999999
429,0.175
430,0.0
431,0.5
432,-0.05
433,1.0
434,0.40727272727272723
435,0.0
436,0.0
437,0.375
438,0.5
439,0.0
440,-0.4
441,0.0
442,0.225
443,0.7
444,0.5
445,0.5895833333333333
446,0.25
447,1.0
448,0.7
449,0.0
450,0.0
451,-0.4041666666666667
452,0.375
453,0.5
454,0.4375
455,0.0
456,0.0
457,0.0
458,0.0
459,0.25
460,0.4375
461,0.0
462,0.0
463,0.0
464,0.4
465,0.7
466,0.3375
467,0.5
468,0.25
469,1.0
470,0.0
471,0.35
472,0.0
473,0.0
